"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Mandre High School","MP6P+X57, Mandrem, Goa 403527, India","403527","NA","NA","NA","https://maps.google.com/?cid=6544583016434292188","ChIJLe9QUpfuvzsR3NWeKZQH01o"
"Viscount High School","Viscount High School, Pernem, Goa 403512, India","403512","NA","NA","NA","https://maps.google.com/?cid=1015407269671096447","ChIJDVw7rXntvzsRf1AYK4hzFw4"
"St Anne's High School, Tormas","St. Anne's School Tormas, Alorna, Goa 403513, India","403513","NA","NA","NA","https://maps.google.com/?cid=12608797180225418254","ChIJAzgrQhmTvzsRDnRILDty-64"
"Shree Sateri primary school","JQW7+VCW, Agarvada, Agarwada-Chopdem VP, Goa 403519, India","403519","NA","NA","NA","https://maps.google.com/?cid=6338210906166032752","ChIJ-w51JA7svzsRcHmI5TzZ9Vc"
"Dattaram Mantravadi Memorial Pre Primary, Primary and High School Ansabhat","HRV5+M33, Mapusa, Goa 403507, India","403507","NA","NA","https://devsecura.com/","https://maps.google.com/?cid=6112539625780798112","ChIJZaUeXx3rvzsRoOIpbmca1FQ"
"St.Anthony's Primary School","HRW2+GWV, Ghateshwar Nagar, Sonar Vaddo, Khorlim, Mapusa, Goa 403507, India","403507","NA","NA","NA","https://maps.google.com/?cid=12496942936667233102","ChIJXfpBSgLrvzsRTptgpmMPbq0"
"Eden Primary & Pre Primary School","Vrundavan Building, Duler Ground Rd, Fiera Alto, Mapusa, Goa, Mapusa, Goa 403507, India","403507","NA","0832 225 1712","NA","https://maps.google.com/?cid=11550017457817774862","ChIJ5-FweeHqvzsRDuvJ6q7nSaA"
"St Ann's Blooming Buds School, Cansa, Tivim","JVG9+6JW, Sirsai, Bodiem, Goa 403502, India","403502","NA","0832 229 8960","http://www.stanntivim.org/","https://maps.google.com/?cid=18393380714531090747","ChIJ89t9SJSUvzsRO3ElvE5qQv8"
"Future Hope School","1/8, Rowland Road, Lala Lajpat Rai Sarani, Rowland Row, Ballygunge, Kolkata, West Bengal 700020, India","700020","NA","033 2476 1060","https://www.futurehope.net/","https://maps.google.com/?cid=12742112477703444462","ChIJxUkuCD13AjoR7heWsckT1bA"
"Babyland Primary School","Kamoti Vaddo, Candolim, Goa 403515, India","403515","NA","NA","NA","https://maps.google.com/?cid=15089671963050006595","ChIJgbj0rJTBvzsRQ1jErrNIadE"
"Good shepherd school","GRGW+5C, Britona, Alto Porvorim, Penha de Franc, Salvador du Mundu, Goa 403101, India","403101","NA","NA","NA","https://maps.google.com/?cid=11216896715888140682","ChIJ_zB2sqS_vzsRiiHCKCJsqps"
"Holy Cross Primary School","Camurlim, Goa 403507, India","403507","NA","075070 07638","http://holycrossgo.in/","https://maps.google.com/?cid=17234809470133721116","ChIJpXC7xBXtvzsRHNjbLuZXLu8"
"Little Angel's Primary And Kindergarten School","Dosoxira, Bouta Waddo, Mapusa, Assagao, Goa 403509, India","403509","NA","NA","NA","https://maps.google.com/?cid=225360959327433256","ChIJ-czOf0rqvzsRKPLzNpmkIAM"
"St. Ritas High School","Shop No. 479, Kolval, Goa 403517, India","403517","NA","NA","NA","https://maps.google.com/?cid=18083525981009001377","ChIJVVVVVajsvzsRobuWsBGX9fo"
"Shri Ram Vidya Mandir School","JRGG+HRG, Mini Satellite Twp, Kolval, Goa 403517, India","403517","NA","093595 09540","NA","https://maps.google.com/?cid=14113669548449371407","ChIJ347QrEXrvzsRD5WSSK3T3cM"
"Rose Garden Primary School","Porvorim, Alto, GRP9+QFR, Porvorim, Penha de Franc, Goa 403501, India","403501","NA","NA","NA","https://maps.google.com/?cid=5802758775521521452","ChIJzUAD4RfAvzsRLK89rFyKh1A"
"THE ARDEE SCHOOL, GOA","193, GRR8+H2V Bella Vista Vaddo, Alto, Alto Porvorim, Porvorim, Sangolda, Goa 403522, India","403522","NA","1800 102 7333","https://goa.theardeeschool.com/","https://maps.google.com/?cid=44190050876696538","ChIJVVVVVTzAvzsR2qcc_Z3-nAA"
"Mater Dei Institution","Bairro Alto, GQVJ+2GG, Saligao, Goa 403511, India","403511","NA","0832 227 8381","NA","https://maps.google.com/?cid=16255853960424210144","ChIJb6aCldnBvzsR4D62vwxlmOE"
"Seminary of Our Lady, Saligao-Pilerne","GQPW+QXF, Rd, opposite Pilerne Industrial Estates, Saligao, Pilern, Goa 403511, India","403511","NA","098225 82332","NA","https://maps.google.com/?cid=10692075739533475060","ChIJ2aT1ei3AvzsR9Px2bjziYZQ"
"Green Meadows School","Nagva, Saligao, Goa 403511, India","403511","NA","093075 64749","http://www.greenmeadowsschool.in/","https://maps.google.com/?cid=16947679830034598549","ChIJzUkLjnHqvzsRlcpDRANBMus"
"Joedells Primary School","HQVX+286, Khorlim, Mapusa, Goa 403507, India","403507","NA","NA","NA","https://maps.google.com/?cid=2543777546510982362","ChIJmybsE2jrvzsR2txmdzNQTSM"
"Bloomingdale Primary School","Gr. Floor, BUG4, Slywan Residency, Duler Ground Rd, Dangui Colony, Mapusa, Goa 403507, India","403507","NA","NA","NA","https://maps.google.com/?cid=12783892376904964094","ChIJVzB_ZmfrvzsR_pc-hGKCabE"
"Chubby Cheeks Spring Valley High School","Green Valley, Porvorim, Pilern, Goa 403521, India","403521","NA","0832 290 1609","http://www.chubbycheeksspringvalleyhs.com/","https://maps.google.com/?cid=10534364809199991282","ChIJOe8SUiLAvzsR8rm9AvuUMZI"
"Kids Kingdom","Behind Sai Service, Near Hero Honda Showroom, Journalist Colony, Alto Porvorim, Penha de Franc, Goa 403521, India","403521","NA","0832 241 4887","NA","https://maps.google.com/?cid=15370106415305068073","ChIJZyePfnnAvzsRKQ42tFmWTdU"
"Jnyan Vikas School","Plot C, Nova Cidade Enclave, PDA Colony, GRFF+PQ6, Bardez, PDA Colony, Alto Porvorim, Pilern, Goa 403501, India","403501","NA","0832 241 0150","http://www.jnyanvikasschool.com/","https://maps.google.com/?cid=4426864870890581486","ChIJJWYbgGzAvzsR7q0WQiVibz0"
"PRIMROSE PRIMARY SCHOOL","GRFP+Q34, Alto Porvorim, Penha de Franc, Goa 403101, India","403101","NA","0832 241 5288","NA","https://maps.google.com/?cid=17326405121380815057","ChIJsbckkHPAvzsR0ZBpnqjBc_A"
"Maria Vitoria Gurjao School","Journalist Colony, Alto Porvorim, Bardez, Penha de Franc, Goa 403501, India","403501","NA","NA","NA","https://maps.google.com/?cid=14703694607888923644","ChIJO5ksg5PBvzsR_LsLpVcEDsw"
"Holy Family Primary School","Panchayat, near Aradi Socorro, Kamat Nagar, Sabnis Valley, Porvorim, Aradi Socorro, Goa 403501, India","403501","NA","0832 241 3000","NA","https://maps.google.com/?cid=8610017351088673178","ChIJAQAAQHHAvzsRmhGXuSntfHc"
"Stepping Stone primary School","GRCW+627, next to St. Peter's Chapel, Britona, Alto Porvorim, Penha de Franc, Goa 403101, India","403101","NA","098233 52322","NA","https://maps.google.com/?cid=3070453530150630765","ChIJCdbeAIm_vzsRbfX4uzdxnCo"
"Shiksha Niketan School","GRJR+85X, Alto Porvorim, Penha de Franc, Salvador du Mundu, Goa 403101, India","403101","NA","0832 240 9432","NA","https://maps.google.com/?cid=16879599409304182695","ChIJAQAAABnAvzsRpx94FjtiQOo"
"Holy Trinity I.C.S.E School","G1,G2, Jewel Plaza, Peddem, Mapusa, Goa 403507, India","403507","NA","NA","NA","https://maps.google.com/?cid=6429335153121594231","ChIJF4wCLwDrvzsRd4u-90GWOVk"
"Divine Mercy High School","Gaunsavaddo, Mapusa, Goa 403507, India","403507","NA","099234 77005","NA","https://maps.google.com/?cid=4467232669842293288","ChIJjRaFwSDrvzsRKEL43nHM_j0"
"Kidscamp & Young Achievers Primary School","Mathias Hill Park , Electricity Dep Road ,Alto Porvorim, Defence Colony, Porvorim, Aradi Socorro, Goa 403521, India","403521","NA","098221 42825","NA","https://maps.google.com/?cid=6024088464390424430","ChIJnbmXW0rrvzsRbgeFl4rcmVM"
"St. Francis School, Duler","Petrol Pump, Duler Ground Rd, next to Duler, Karaswada, Mapusa, Goa 403526, India","403526","NA","063605 58385","NA","https://maps.google.com/?cid=3752037073227992979","ChIJIcXn4eLrvzsRk8_ZxdbpETQ"
"Shivaji Raje High School","kholpewadi, MXH6+7XW, Sal, Goa 403503, India","403503","NA","0832 238 9188","NA","https://maps.google.com/?cid=14096921829610171135","ChIJW6jxXxSRvzsR_ypdILdTosM"
"Rotary Club English Medium Primary School","HXQ3+G2J, Dicholi, Goa 403529, India","403529","NA","NA","NA","https://maps.google.com/?cid=3584276123999518174","ChIJM7SBvG6WvzsR3r3n-yTovTE"
"Gurudas Gauns High School","Gokulwadi, Sesa Colony, Desai Nagar, Sanquelim, Goa 403505, India","403505","NA","NA","NA","https://maps.google.com/?cid=18096273236427593957","ChIJ-3xFW1m9vzsR5disX6HgIvs"
"Shri Bhumika HSS Parye","Post Sanquelim, Parye, Satari, Pariye, Goa 403505, India","403505","NA","0832 236 8130","NA","https://maps.google.com/?cid=10654458114173271771","ChIJVVVVFU2YvzsR236TgTQ93JM"
