"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Little angel public school","4358+XP9, Unnamed Road, Ajaraguri, Assam 787052, India","787052","NA","NA","https://www.youtube.com/@anupolo125","https://maps.google.com/?cid=1263872083175133986","ChIJC2JEKgC1RjcRItMvn_YsihE"
"Doon Public School, Sivasagar","NO. 1 CHOULKORA GAON, NEAR, NH37, Sivasagar, Chaul Kora No.1, Assam 785640, India","785640","NA","097060 58828","http://www.doonpublicschoolsivasagar.com/","https://maps.google.com/?cid=2613213103525617204","ChIJifZh31wxRzcRNF4K5nj_QyQ"
"P. D Academy","XHVV+M8M, Chaul Kora No.1, Assam 785640, India","785640","NA","NA","NA","https://maps.google.com/?cid=7525284743748536140","ChIJ28vA9Y8xRzcRTEfMkJoub2g"
"Sankardev Vidya Niketan, Melachakar, Sivasagar","XJJW+C9F, T.P Chaliha Rd, Sivasagar, Assam 785640, India","785640","NA","NA","NA","https://maps.google.com/?cid=1267605627282092413","ChIJbTWTzUkxRzcRfXFvGZpwlxE"
"Desangmukh Jatiya Vidyalaya","3H96+9F6, Disangmukh, Ali Chiga, Assam 785663, India","785663","NA","NA","NA","https://maps.google.com/?cid=3298899395501402143","ChIJ16mfzL4tRzcRH6icmoULyC0"
"Swarna Bidyapeeth School","NCC Road, 4QH3+JX9, Dihajan, P.O, Demow, Assam 785662, India","785662","NA","080993 34439","NA","https://maps.google.com/?cid=1961186823009541411","ChIJLVbaGfe1QDcRIx2pUwaJNxs"
"HCB Model English Scool","4PGR+Q8H, Demow, Assam 785662, India","785662","NA","NA","NA","https://maps.google.com/?cid=3249934368405841389","ChIJxyafTW61QDcR7eUp1BYWGi0"
"Demow Jatiya Vidyalaya","4PHQ+H8F, Sivasagar, Assam 785662, India","785662","NA","NA","NA","https://maps.google.com/?cid=6433350714087103672","ChIJHYL7_m-1QDcRuNyqnGPaR1k"
"Demow Junior College","4QG2+VH3, Assam Trunk Rd, Demow, Assam 785662, India","785662","NA","NA","NA","https://maps.google.com/?cid=10603179004484868151","ChIJZXR64hm1QDcRN1gzZCAPJpM"
"samannay junior college","4PCM+X75, Sivasagar, Assam 785662, India","785662","NA","NA","NA","https://maps.google.com/?cid=3009883636745419053","ChIJZ686flG1QDcRLbl4dzhBxSk"
"Demow English Academy","4PGW+R85, Sivasagar, Assam 785662, India","785662","NA","NA","NA","https://maps.google.com/?cid=14777985404313573648","ChIJM-NXp221QDcREJkEmG3zFc0"
"Sankardev Vidya Niketan, Melachakar, Sivasagar","XJJW+C9F, T.P Chaliha Rd, Sivasagar, Assam 785640, India","785640","NA","NA","NA","https://maps.google.com/?cid=1267605627282092413","ChIJbTWTzUkxRzcRfXFvGZpwlxE"
"Sankardev Jatiya Vidyalaya, Boliaghat","XH73+CG9, Phakum Kumar Phodia, Assam 785667, India","785667","NA","NA","NA","https://maps.google.com/?cid=15841154939711030018","ChIJKUp5uC0uRzcRAoNm1XwW19s"
"Konwerpur Jr. College","785667, Bikrampur Path, Japorigog, Guwahati, Gohain Pathar, Assam 781005, India","785667","NA","NA","NA","https://maps.google.com/?cid=14884661388211942377","ChIJIRQBUe0xRzcR6XNYlqvwkM4"
"Sankardev Shishu Niketan","5QRR+WQX, Demow-Kowang Rd, Podumoni No.2, Dhemechi, Assam 785675, India","785675","NA","NA","NA","https://maps.google.com/?cid=8770115242855840439","ChIJdc_yLqK2QDcRtzqp6Vi1tXk"
"Srimanta Sankardev Vidyalaya","6Q58+5PW, Nitai Pukhuri Gaon, Baputigarh, Assam 785671, India","785671","NA","NA","NA","https://maps.google.com/?cid=5049120253026326160","ChIJbck6V2C2QDcRkFbdZR4UEkY"
"Sankardev Shishu Niketan","5QRR+WQX, Demow-Kowang Rd, Podumoni No.2, Dhemechi, Assam 785675, India","785675","NA","NA","NA","https://maps.google.com/?cid=8770115242855840439","ChIJdc_yLqK2QDcRtzqp6Vi1tXk"
"Desang Rajabari High School","3M7P+5WC, Kesuwani, Assam 785672, India","785672","NA","NA","NA","https://maps.google.com/?cid=14696629083237317448","ChIJVWFdcR01RzcRSPsI_kjq9Ms"
"Sankardev Vidya Niketan, Melachakar, Sivasagar","XJJW+C9F, T.P Chaliha Rd, Sivasagar, Assam 785640, India","785640","NA","NA","NA","https://maps.google.com/?cid=1267605627282092413","ChIJbTWTzUkxRzcRfXFvGZpwlxE"
"Sankardev Vidya Niketan, Melachakar, Sivasagar","XJJW+C9F, T.P Chaliha Rd, Sivasagar, Assam 785640, India","785640","NA","NA","NA","https://maps.google.com/?cid=1267605627282092413","ChIJbTWTzUkxRzcRfXFvGZpwlxE"
"Panidehing junior college","6M8X+J2C, Bam Rajabari Rd, Dhaibari, Jamira, Assam 785671, India","785671","NA","095778 92275","NA","https://maps.google.com/?cid=9807746765204985625","ChIJ70DMyHDJQDcRGZcHI7gdHIg"
"Lp school","3JPQ+MCW, Sivasagar, Assam 785672, India","785672","NA","NA","NA","https://maps.google.com/?cid=4588523125150884354","ChIJnT_RF_EzRzcRAqJIpni1rT8"
"ST. MARY'S SCHOOL","4PRV+5QC, Demow-Netaipukhuri Rd, Demow, Assam 785662, India","785662","NA","NA","NA","https://maps.google.com/?cid=16836690989807066373","ChIJM3jMRza1QDcRBV14KEDxp-k"
"Rajabari Jatiya Vidyalaya","3M6M+RFC, Kesuwani, Assam 785672, India","785672","NA","NA","NA","https://maps.google.com/?cid=3253668831903395336","ChIJPXroH-M0RzcRCK5cXpBaJy0"
