"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"S H PATUWARY ADARSHA JATIYA BIDYALAYA","3P5V+862, Padumoni, Bakula Guri, Assam 782428, India","782428","NA","NA","NA","https://maps.google.com/?cid=14452691604716982236","ChIJs86Z-VM_RTcR3A9t23BGksg"
"Sonitpur Sishu Bikash Academy","JQHX+737, Mahabhairab, Tezpur, Assam 784001, India","784001","NA","NA","NA","https://maps.google.com/?cid=3673051159049857195","ChIJEct2ygzpRDcRq-gAiZFM-TI"
"Sacred Heart School","JQRR+JJ2, Ushanagar, Mahabhairab, Tezpur, Assam 784001, India","784001","NA","03712 236 313","https://www.sacredheartchd.com/","https://maps.google.com/?cid=17690284151639615358","ChIJNwxyvcXpRDcRfqczcrWDgPU"
"Emmanuel Christian School","MQ3C+9WM, Mission Chariali, Ketekibari, Tezpur, Assam 784150, India","784150","NA","NA","NA","https://maps.google.com/?cid=3414737823248283399","ChIJ0U9evQzCRDcRB_fNS_WVYy8"
"Tezpur Science Academy","Nikamul satra road, Nikamul Chariali, Majgaon, Tezpur, Assam 784154, India","784154","NA","088767 05152","http://www.tezpurscienceacademy.in/","https://maps.google.com/?cid=484416104792610611","ChIJEYDjqMPpRDcRM1ekeeH9uAY"
"LUIT VALLEY ACADEMY","MVH2+72J, Panch-Mile, Tezpur, Assam 784025, India","784025","NA","NA","NA","https://maps.google.com/?cid=9566997678009942713","ChIJB9rKcNTrRDcRuQLFNLPNxIQ"
"Sonitpur College","MRGX+Q5V, Panch-Mile, Tezpur, Assam 784025, India","784025","NA","NA","NA","https://maps.google.com/?cid=2405665233793615225","ChIJ6adwKv3rRDcReYXGzMijYiE"
"Panchmile Jatiya Vidyalaya","MRGW+F6C, Panch-Mile, Tezpur, Assam 784025, India","784025","NA","NA","NA","https://maps.google.com/?cid=3977200599522669900","ChIJHbelNgDrRDcRTPUEh9_aMTc"
"Thelamara Jatiya Bidyalay","Kamar Chuburi Gaon, Assam 784149, India","784149","NA","NA","NA","https://maps.google.com/?cid=3112044839780623321","ChIJJdVqKjvJRDcR2SM2IEs0MCs"
"Sankardev Sishu Vidya Niketan","JQRR+672, Gharpara Chuburi Main Rd, Ushanagar, Majgaon, Tezpur, Assam 784001, India","784001","NA","094356 54069","NA","https://maps.google.com/?cid=13002796155628842882","ChIJyV89g8XpRDcRgm8SNzY2c7Q"
"Upendra National Academy","Dhekiajuli, Assam 784110, India","784110","NA","NA","NA","https://maps.google.com/?cid=7327242714242636225","ChIJ_____2vLRDcRwVmAXW2Yr2U"
"St. Mary's School, Tezpur","Dolabari, Tezpur, Assam 784027, India","784027","NA","075418 12077","http://www.stmarysteenmile.in/","https://maps.google.com/?cid=3935358702211180013","ChIJu2fu1G_pRDcR7SUKpeMznTY"
"KNOWLEDGE PATH ACADEMY","JRWC+H32, Dolabari, No.1 Dolabari, Tezpur, Assam 784027, India","784027","NA","NA","NA","https://maps.google.com/?cid=14006361394777091703","ChIJaSw4TArpRDcRd-5uy3qXYMI"
"ISKON Gourio Math","Dangabasti, PG39+RPP, Dhekiajuli, Medhichuburi, Assam 784110, India","784110","NA","NA","NA","https://maps.google.com/?cid=16787616139620645539","ChIJHUVw8L_LRDcRo_qzM--X-eg"
"Moonlit High School","JQFQ+WV3, Tezpur Main Rd, Kacharigaon, Kamarchuburi, Tezpur, Assam 784001, India","784001","NA","03712 230 231","NA","https://maps.google.com/?cid=16660841552565711033","ChIJW5grWjLoRDcRuTC_fx4zN-c"
"Yuganayak Shankardev Sishu Niketan","MPF3+F87, NH 15, Bihuguri, Assam 784153, India","784153","NA","NA","NA","https://maps.google.com/?cid=14648660139561521140","ChIJm9M8AQDDRDcR9A_99ch-Sss"
"Sankardev Sishu Vidya Niketan","JQRR+672, Gharpara Chuburi Main Rd, Ushanagar, Majgaon, Tezpur, Assam 784001, India","784001","NA","094356 54069","NA","https://maps.google.com/?cid=13002796155628842882","ChIJyV89g8XpRDcRgm8SNzY2c7Q"
"Srimanta Sankardev Jatiya Vidyalaya","MPH7+65M, NH 15, Bihuguri, Assam 784153, India","784153","NA","NA","NA","https://maps.google.com/?cid=9081234893453582713","ChIJVYq_xr3BRDcReeEuagUHB34"
"St. Josephs Convent H.S School","JQ9X+VF4, Mahabhairab, Tezpur, Assam 784001, India","784001","NA","094359 28488","https://www.sjctezpur.com/","https://maps.google.com/?cid=2409133021205071200","ChIJgWgCz0noRDcRYIWX-bf1biE"
"All Saints' Diocesan School","near Saint's Joseph Convent School, Mahabhairab, Tezpur, Assam 784001, India","784001","NA","094765 57931","http://asdstezpur.org/","https://maps.google.com/?cid=9526783881550771242","ChIJKyRDMEjoRDcRKjTAF3fvNYQ"
"Guru Nanak Model High School","JQFQ+FJW, Mahabhairab, Tezpur, Assam 784001, India","784001","NA","NA","NA","https://maps.google.com/?cid=4147354147073449559","ChIJKTDOajLoRDcRV14Ohp9cjjk"
"Lotus English High School","Hazarapar, Railgate, South, near Employment Exchange, Bhairabpad, Tezpur, Assam 784001, India","784001","NA","NA","NA","https://maps.google.com/?cid=412750432450395383","ChIJ5TLRJUjpRDcR9zwY21RiugU"
"Al- Kauser Model Academy School","Bhojkhowa Chapori, Batamari, Tezpur, Assam 784027, India","784027","NA","093654 87284","NA","https://maps.google.com/?cid=15446456715281279408","ChIJjVJhCxjpRDcRsKnJMIvWXNY"
"Tezpur Gurukul School","Chatai Chapori, 4th Mile, Panch-Mile, Tezpur, Assam 784001, India","784001","NA","070860 12608","https://www.tezpurgurukul.com/","https://maps.google.com/?cid=5317568500293434923","ChIJ90MtoWjpRDcRK_7LmGDMy0k"
"Holy child english school","VG7R+837, Naharani Basti Gaon, Assam 784506, India","784506","NA","NA","NA","https://maps.google.com/?cid=9173789372542481932","ChIJZTDbb6G3RDcRDPalWtTYT38"
"Swarup Sthiti Boarding School","V9R9+7X8, Hugrajuli Gaon, Assam 784507, India","784507","NA","NA","NA","https://maps.google.com/?cid=4455569568375462422","ChIJAeilqftPWzcRFloPc-pc1T0"
"Upendra National Academy Dhansrighat","Dhansrighat, Bhalukmari Jungle, Oubari Jungle, Assam 784114, India","784114","NA","NA","NA","https://maps.google.com/?cid=17620909743105141182","ChIJ19q02hs5WzcRvmkAQQ0MivQ"
"Smart Kids English School","PF4H+RH6, PNGB Road, Dhekiajuli, Assam 784110, India","784110","NA","NA","NA","https://maps.google.com/?cid=1260709125303572833","ChIJJ0PFBoDLRDcRYRnQGkXwfhE"
"L.B.ROAD. Nere Vivekananda sister Nivedita School","MFXP+C36, Dhekiajuli, Assam 784110, India","784110","NA","NA","NA","https://maps.google.com/?cid=6744725163451168930","ChIJVRhsBADLRDcRojglE80Tml0"
"Gyanam","W. No. 8, MFXH+Q95 Gyanam Preschool, Netaji Rd, Dhekiajuli, No.1 Palash Basti Gaon, Assam 784110, India","784110","NA","098599 16793","NA","https://maps.google.com/?cid=10124554488667244441","ChIJta9C7WTLRDcRmQcZTqqkgYw"
"Brahmaputra Public School","PF4Q+67H, Dhekiajuli, Assam 784110, India","784110","NA","094350 80203","NA","https://maps.google.com/?cid=17163308550251549053","ChIJLy-53BLLRDcRfREr_DBSMO4"
"Kids Heaven English School","112, ward No 5, Ward No. 5, Dhekiajuli, Assam 784110, India","784110","NA","098542 22992","http://www.kidsheavenschool.co.in/","https://maps.google.com/?cid=17352979301891545862","ChIJRVHShlPLRDcRBpvzK7wq0vA"
