"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Mankachar College, Mankachar","GVV9+727, Mankachar, Assam 783131, India","783131","NA","099570 57739","https://mankacharcollege.org/","https://maps.google.com/?cid=4398226085986084048","ChIJOxi-OcBR_TkR0KQOiVKjCT0"
"Sunlight jatiya vidyalaya Salkata","Salkata Rd, Borokalia Sharsho, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=5706116765609233259","ChIJT5vYTSMJWDcRawsKTfcyME8"
"M.B. Jatiya Bidyalaya","W3JJ+XJF, Borokalia Nashkara, Maira Kuchi Pt.I, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=2651572313189146452","ChIJ7RaTrLEOWDcRVF_mX_hGzCQ"
"South Salmara Jatiya Vidyalaya","V2P7+CQC, Salmara Pt.II, Assam 794104, India","794104","NA","NA","NA","https://maps.google.com/?cid=12366405494138036114","ChIJWxt7CwcJWDcRkl-J4kZMnqs"
"Salkata Jana Kalyan Academy","Salkata Rd, Borokalia Sharsho, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=10435916560847687323","ChIJN3deSAIJWDcRm07x-tHS05A"
"Annesha Shiksha Niketan","X329+MG4, Sunderpara Pt.IV, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=3020333449794188052","ChIJDZPLbPwLWDcRFHM2KkVh6ik"
"South Salmara Jatiya Vidyalaya","V2P7+CQC, Salmara Pt.II, Assam 794104, India","794104","NA","NA","NA","https://maps.google.com/?cid=12366405494138036114","ChIJWxt7CwcJWDcRkl-J4kZMnqs"
"South Salmara Jatiya Vidyalaya","V2P7+CQC, Salmara Pt.II, Assam 794104, India","794104","NA","NA","NA","https://maps.google.com/?cid=12366405494138036114","ChIJWxt7CwcJWDcRkl-J4kZMnqs"
"Brahmaputra Jatiya Vidyalaya, Dhubri","Adabari, 2WJR+MV7, Part II, Dhubri, Chagalchara Pt.III, Assam 783324, India","783324","NA","086388 98484","NA","https://maps.google.com/?cid=5427750965134364566","ChIJ3z13sOeh4jkRlg8ezr4-U0s"
"South Salmara Jatiya Vidyalaya","V2P7+CQC, Salmara Pt.II, Assam 794104, India","794104","NA","NA","NA","https://maps.google.com/?cid=12366405494138036114","ChIJWxt7CwcJWDcRkl-J4kZMnqs"
"Balughat Dhenarkuti Adarsha Sishu","W22P+5GP, Balughat, Bororavatary Pt.II, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=14637588511660556123","ChIJsRmePQAJWDcRW7_dtTIpI8s"
"South Salmara Jatiya Vidyalaya","V2P7+CQC, Salmara Pt.II, Assam 794104, India","794104","NA","NA","NA","https://maps.google.com/?cid=12366405494138036114","ChIJWxt7CwcJWDcRkl-J4kZMnqs"
"Salmara Adarsha Jatya Vidyalaya","5GCR+VWH, Salmara, Assam 782425, India","782425","NA","NA","NA","https://maps.google.com/?cid=5751564532589221186","ChIJ1aFh9d8xRTcRQlW3I3ip0U8"
"OXFORD ACADEMY","No.1 Thekerabari, Assam 784115, India","784115","NA","NA","NA","https://maps.google.com/?cid=8040699949429777015","ChIJRTv67roYWzcRd2JDpwBOlm8"
"DIPTI ADARSHA BIDYALAYA, AMBARI BHUYAN PARA NEW MARKET","W3P7+5R, Borokalia Nashkara, Assam 783330, India","783330","NA","NA","https://schools.org.in/dhubri/18020701710/dipti-adarsha-bidyalaya.html","https://maps.google.com/?cid=4109988458266038136","ChIJ8df-spoJWDcReA_nJbqcCTk"
"Smart Academy","W355+V2G, Borokalia Sharsho, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=6884400243389530331","ChIJLekZ59kJWDcR24DY1otNil8"
"Jonaki Jatiya Bidyalaya","Salkata Rd, Borokalia Nashkara, Assam 783330, India","783330","NA","093657 75781","NA","https://maps.google.com/?cid=10361409482820704344","ChIJIRtiLbMOWDcRWFjkCwcfy48"
"Smart Academy, Chandipara","X32M+7V9, Camp Rd, Maira Kuchi Pt.I, Mairakuchi Pt.II, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=8139099157104928983","ChIJXVg_xhwMWDcR16jrgo_j83A"
"Dr. Jakir Hussain English Academy","NEC Rd, Sunderpara Pt.III, Mairakuchi Pt.II, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=12547455643112548245","ChIJGav9ZAcNWDcRlaexmm2EIa4"
"Dr. Jakir Hussain Academy","W3HF+VRF, Amchala Rd, Shimulchala, Borokalia Nashkara, Assam 783330, India","783330","NA","098545 18888","https://m.facebook.com/Dr-Jakir-Hussain-Academy-Shimulchala-1906126266279209/","https://maps.google.com/?cid=16076743710476027647","ChIJNbsGrUwJWDcR_0br9zkRHN8"
"Moon Light Academy","PV9V+7X7, Kharuabandha Pt.I, Hatsingimari, Assam 783135, India","783135","NA","NA","NA","https://maps.google.com/?cid=3432664849328483672","ChIJWdl1nNWt4jkRWK0xUX5Goy8"
"S.B. Vidyapith, Amchala (এছ. বি. বিদ্যাপীঠ, আমচালা)","S.B. Vidyapith, Amchala Rd, Borokalia Nashkara, Assam 783330, India","783330","NA","NA","NA","https://maps.google.com/?cid=3771763316047105955","ChIJ972VAAAJWDcRo0_WlcD-VzQ"
