"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Grace Children Primary School","Antonette Mansion, H No-113, Margao, Grace Church, Margao, Pajifond, Goa, Madgaon, Goa 403601, India","403601","NA","0832 272 5036","NA","https://maps.google.com/?cid=8320642121588688356","ChIJp6hDwemzvzsR5EVyyOzbeHM"
"Loyola High School","Comba, Madgaon, Goa 403601, India","403601","NA","NA","https://loyolamargao.org/","https://maps.google.com/?cid=11365816862877904545","ChIJDW8L9OizvzsRoW771Td-u50"
"Child Care School","35A, Gold Road, Pajifond, Madgaon, Goa 403601, India","403601","NA","0832 273 2033","NA","https://maps.google.com/?cid=186380584135677299","ChIJ33V_j8OzvzsRc9VvXicolgI"
"Liberty School","Cupangali Society, Gogol, Madgaon, Goa 403602, India","403602","NA","099224 08912","NA","https://maps.google.com/?cid=13363669217154136748","ChIJCQSIAGCzvzsRrHpLaFlKdbk"
"St Anthony High School","7XG5+9MW, Pajifond, Madgaon, Goa 403601, India","403601","NA","NA","NA","https://maps.google.com/?cid=9023423264679250090","ChIJ3wM119yzvzsRqsgzraajOX0"
"Angels Kindergarten","Reliance Residency, Edapally - Panvel Hwy, opposite Oddyssey Building, Sanscar Society, Colmorod, Navelim, Goa 403707, India","403707","NA","098236 74996","NA","https://maps.google.com/?cid=1634805660627984983","ChIJgxoZkruzvzsRV2KHNhb_rxY"
"Royal Kids Pre-Primary School","H:NO-12/440, Bhatiem, Cuncolim, Goa 403703, India","403703","NA","NA","NA","https://maps.google.com/?cid=11962700776940104801","ChIJN64Do71NvjsRYezNu_kMBKY"
"Little Finger's Primary School","72R4+WHW, Maina, Curtorim, Shelvan, Goa 403709, India","403709","NA","NA","NA","https://maps.google.com/?cid=7431863581729498619","ChIJ9S7fyoqxvzsR-yUmSI1II2c"
"St Joseph Primary School","62R9+JW4, MDR 40, Gudi, Sao Jose De Areal, Goa 403709, India","403709","NA","098221 37132","NA","https://maps.google.com/?cid=10930676655336637962","ChIJZzgXbYayvzsRCsb-O4GQsZc"
"Divine Heart School","723X+48F, Mireagirem, Chandor, Goa 403714, India","403714","NA","099211 38671","NA","https://maps.google.com/?cid=9230243807916353275","ChIJZ1fCop6tvzsR-2Ya4dZpGIA"
"Shishukunj Primary School","Gogol Housing Board, Madgaon, Goa 403601, India","403601","NA","091586 40778","http://shishukunjschoolgoa.com/","https://maps.google.com/?cid=13725843974679501650","ChIJu1EFzkCzvzsRUhs1UV_-e74"
"DADDY’S HOME SPECIAL SCHOOL","Opp. Mutt Complex, Gogol, P.o. Fatorda, 7XQQ+29W, Gogol, Madgaon, Goa 403602, India","403602","NA","0832 275 9712","http://daddyshome.in/","https://maps.google.com/?cid=1510737401066105900","ChIJAQAAAGSxvzsRLCxxe6k39xQ"
"St. Sebastian School, Aquem Alto, Margao - Goa","St. Sebastian Church, Complex, Aquem, Madgaon, Goa 403601, India","403601","NA","0832 273 4350","http://www.stsebastianaquem.com/web/category/st-sebastian-school-aquem/","https://maps.google.com/?cid=10532255954665243058","ChIJj4X28MWzvzsRsoFQDf0WKpI"
"Vidya Vruksh Primary School","#162, Korgaonkar Building, Aquem, Madgaon, Goa 403601, India","403601","NA","0832 655 5454","NA","https://maps.google.com/?cid=14474154605762024852","ChIJtew0qsizvzsRlJWHNO2G3sg"
"Angels Primary School","8XJQ+6RP, Loutolim, Camorlim, Goa 403718, India","403718","NA","NA","NA","https://maps.google.com/?cid=13900213679130132396","ChIJAQBwDayxvzsRrL-T1rF658A"
"Cambridge School","Varca, Fatrade, Goa 403721, India","403721","NA","NA","NA","https://maps.google.com/?cid=15159907856721514093","ChIJedWCYb-zvzsRbQ6KA-DPYtI"
"Bloomz International School","Baida, Nuvem, Goa 403604, India","403604","NA","070280 36881","http://bloomzinternationalschool.com/","https://maps.google.com/?cid=6227761523470204522","ChIJWZq0nN6zvzsRan5JCBx0bVY"
"The King's School","854, Mugalli, Sao Jose De Areal, 72F3+JPF, Mugal, Goa 403709, India","403709","NA","098231 05911","http://www.thekingschool.in/","https://maps.google.com/?cid=9525758660262648125","ChIJ-3crBT6yvzsRPVkOKQhLMoQ"
"VVM's Vidya Vikas Academy","7XF2+H4F Shree Damodar Educational Campus, G R Kare Rd, Comba, Madgaon, Goa 403601, India","403601","NA","0832 272 2567","http://vidyavikasacademy.edu.in/","https://maps.google.com/?cid=3227526668295680681","ChIJp6hDwemzvzsRqTLdlmd6yiw"
"Kids Kingdom","Behind Sai Service, Near Hero Honda Showroom, Journalist Colony, Alto Porvorim, Penha de Franc, Goa 403521, India","403521","NA","0832 241 4887","NA","https://maps.google.com/?cid=15370106415305068073","ChIJZyePfnnAvzsRKQ42tFmWTdU"
"Angels Primary School","8XJQ+6RP, Loutolim, Camorlim, Goa 403718, India","403718","NA","NA","NA","https://maps.google.com/?cid=13900213679130132396","ChIJAQBwDayxvzsRrL-T1rF658A"
"Don Bosco Community College","8XPG+38Q, Carcol, Loutolim, Rasaain, Goa 403718, India","403718","NA","0832 285 8218","NA","https://maps.google.com/?cid=14115849925821887943","ChIJQeTU91SwvzsRx3VW87eS5cM"
"Trinity Primary School","near Carmel chapel, Tembim, Curtorim, Shelvan, Goa 403709, India","403709","NA","098237 72456","NA","https://maps.google.com/?cid=3000429356641724102","ChIJXRNgQv2tvzsRxqZIWJqqoyk"
"Little's Pre Primary & Primary School","Murida Rd, Murida, Fatorda, Madgaon, Goa 403602, India","403602","NA","0832 674 7320","https://littles.co.in/","https://maps.google.com/?cid=13667987712533227148","ChIJy7xBMWKxvzsRjGbyj2hyrr0"
"Les Anges Academy","Shop Number 1, Quadros Building, opposite Jawaharlal Nehru Stadium, Dongarvaddo, Fatorda, Madgaon, Goa 403602, India","403602","NA","090110 90777","NA","https://maps.google.com/?cid=4325360850325803583","ChIJb4uwCGGxvzsRPxIN0cbEBjw"
"Al-Huda International Islamic School","Chandrawado, Ambaji, Madgaon, Goa 403602, India","403602","NA","NA","NA","https://maps.google.com/?cid=14185879291356413456","ChIJW6Q4HWaxvzsREH7eMw5e3sQ"
"Manovikas","7XRQ+F7J, Sonsodo, Gogol, Madgaon, Goa 403601, India","403601","NA","0832 275 9696","http://www.manovikasschool.in/","https://maps.google.com/?cid=3564816107346665841","ChIJLVn92oCxvzsRcSH9x1zFeDE"
"St Anne's School","Borda, Madgaon, Goa 403601, India","403601","NA","NA","NA","https://maps.google.com/?cid=6027137887334716362","ChIJ6dR5HXexvzsRylPisvmxpFM"
"St Anne's School","6WXP+887, Benaulim, Goa 403716, India","403716","NA","096376 27011","NA","https://maps.google.com/?cid=14961087472188495457","ChIJFadKgni0vzsRYZZX6cl1oM8"
"Shishu Vikas High School","409, Aquem Baixo Panchayat Rd, Shantinagar, Ake, Goa 403729, India","403729","NA","0832 276 6314","NA","https://maps.google.com/?cid=15398968653950716898","ChIJ9aCDn7GzvzsR4osbTmcgtNU"
"Posh English High School","oad, 7X67+VJF, Colmar Ln, Sanscar Society, Charlotte, Madgaon, Goa 403707, India","403707","NA","NA","NA","https://maps.google.com/?cid=834565219503691769","ChIJk9gbJr-zvzsR-ddpOqX4lAs"
"Damodar Higher Secondary School","62QF+52Q, Unnamed Road, Gudi, Sao Jose De Areal, Mulem, Goa 403729, India","403729","NA","NA","NA","https://maps.google.com/?cid=4185688577977780305","ChIJz8-4JVOzvzsRUYjGvpWNFjo"
"First Steps Primary School","Colva Church, 40A, Donnale, Per Seraulim, Before, Fatona, Colva, Seraulim, Goa 403708, India","403708","NA","0832 278 0818","NA","https://maps.google.com/?cid=542446345889085103","ChIJaQ02Nge0vzsRr3Zt3BMohwc"
