"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Sankardev Shishu Niketan, Latibari","JMX4+5XM, Pubkachukata, Assam 781364, India","781364","NA","NA","NA","https://maps.google.com/?cid=14340506101065029318","ChIJG_p8sza7WzcRxpZN1VG2A8c"
"Shankardev Vidya Niketan Tamulpur","JH4H+QXV, Barkhopa, Assam 781367, India","781367","NA","NA","NA","https://maps.google.com/?cid=4227047971527458066","ChIJ-XITaee5WzcREv1t97t9qTo"
"Amar jyoti Jatiya Vidyalaya","GGMR+M7W, Tamulpur-Ghograpar Rd, Pub-Barsiral, Dalbari Kaniha, Assam 781369, India","781369","NA","NA","NA","https://maps.google.com/?cid=11169843229438096116","ChIJV53Kw823WzcR9LJ1nzxBA5s"
"Sankardev Shishu Niketan, Latibari","JMX4+5XM, Pubkachukata, Assam 781364, India","781364","NA","NA","NA","https://maps.google.com/?cid=14340506101065029318","ChIJG_p8sza7WzcRxpZN1VG2A8c"
"Dr. Ambedkar High School, Joypur","Joypur, PMR7+CH8, Nagrijuli, Barnadi Par, No.2.Dongargaon, Assam 781368, India","781368","NA","NA","NA","https://maps.google.com/?cid=3563490728304391939","ChIJ6ZXinSe9WzcRAzf77O8PdDE"
"Bishnu Jyoti Jatiya vidyalaya School","JH5F+M55, Barkhopa, Assam 781367, India","781367","NA","NA","NA","https://maps.google.com/?cid=14903765555822361497","ChIJuZtcbdu5WzcRmXt-Os_P1M4"
"Rupkonwar jatiya vidyalaya","Tamulpur - Nagrijuli - Guwabari Rd, Barimakha, Assam 781368, India","781368","NA","NA","NA","https://maps.google.com/?cid=818284870224542286","ChIJC916kV27WzcRTnrPBsEhWws"
"Adarsha Vidya Niketan kachubari","JJG3+G39, Barbilbari, Assam 781367, India","781367","NA","NA","NA","https://maps.google.com/?cid=17845456804014202703","ChIJbyxCeiG6WzcRTx_Y-WnMp_c"
"Shankardev Sishu Vidya Niketan","PHQ3+34Q, Kumarikata, Assam 781360, India","781360","NA","NA","NA","https://maps.google.com/?cid=11742475246951714849","ChIJuxUf-wa_WzcRIdBf1gWn9aI"
"Upendra National Academy, Kumarikata","PHJ5+HCF, Kumarikata, Assam 781360, India","781360","NA","073992 29400","NA","https://maps.google.com/?cid=13327181357688868882","ChIJJWPxkAK_WzcREtBAmtWo87g"
"Educare Institute","Darranga Road, QGM4+HPG, Town Sashipur, PO Darrangamela, PS Tamulpur, N.K Darranga, N.C.Angarkata, Assam 781360, India","781360","NA","098966 57189","NA","https://maps.google.com/?cid=7503852075892230212","ChIJeQWiGRzAWzcRREiitrQJI2g"
"Adarsha Bidya Niketan, Guwabari","QMHG+5CM, Deochunga, Assam 781368, India","781368","NA","NA","NA","https://maps.google.com/?cid=9252706779459161742","ChIJL9Pp4YO9WzcRjg6DAMs3aIA"
"Adarsha Bidya Niketan, Guwabari","QMHG+5CM, Deochunga, Assam 781368, India","781368","NA","NA","NA","https://maps.google.com/?cid=9252706779459161742","ChIJL9Pp4YO9WzcRjg6DAMs3aIA"
"Shankardev Academy Jatiya Bidyalaya Nagrijuli","Batipar, Tamulpur, Khatorbari, Assam 781368, India","781368","NA","080113 75054","NA","https://maps.google.com/?cid=16790495430210819924","ChIJTSyBKZK8WzcRVBeJSKLSA-k"
