"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Rupkonwar jatiya Vidyalaya, Baghjan Dighaltarang","Baghjan, Dighaltarang, Tinsukia, Dighaltarang Gaon, Assam 786151, India","786151","NA","080119 71344","NA","https://maps.google.com/?cid=15108504842464613115","ChIJZXWmGKZtPzcR-1JfHhsxrNE"
"Little Angel School","New, court road, Kaptanchuk Gaon, Assam 786192, India","786192","NA","099571 16362","NA","https://maps.google.com/?cid=7221723961101114545","ChIJy8QTNzdrPzcRsdxbJ663OGQ"
"Radsick Memorial English School","F8JP+Q83, Kaptanchuk Gaon, Assam 786192, India","786192","NA","NA","NA","https://maps.google.com/?cid=507424240722913818","ChIJfdQV5UVqPzcRGiq2kqi7Cgc"
"Inventure Academy","Sector 1, Bordoloi Nagar, Tinsukia, Nokhroy Gaon, Assam 786125, India","786125","NA","094350 36787","NA","https://maps.google.com/?cid=4459442749889522014","ChIJr-xPwLBrPzcRXilby40f4z0"
"Jatiya Vidyalay Tinisukia, Sripuria","F8FV+C8W, Dhekiajuri Bongali Gaon, Assam 786145, India","786145","NA","NA","NA","https://maps.google.com/?cid=4703204410180469450","ChIJyTbEHV1qPzcRyoLbDn4jRUE"
"Jatiya Vidyalay Tinisukia, Sripuria","F8FV+C8W, Dhekiajuri Bongali Gaon, Assam 786145, India","786145","NA","NA","NA","https://maps.google.com/?cid=4703204410180469450","ChIJyTbEHV1qPzcRyoLbDn4jRUE"
"Bordubi H S School","98W7+QXQ, Bordubi, Assam 786601, India","786601","NA","NA","NA","https://maps.google.com/?cid=12785459551723189320","ChIJNx4PsX5BPzcRSPSV1rgTb7E"
"Jatiya Vidyalay Tinisukia, Sripuria","F8FV+C8W, Dhekiajuri Bongali Gaon, Assam 786145, India","786145","NA","NA","NA","https://maps.google.com/?cid=4703204410180469450","ChIJyTbEHV1qPzcRyoLbDn4jRUE"
"Auxilium junior College","G952+6R3, Sector 3, Bordoloi Nagar, Tinsukia, Assam 786126, India","786126","NA","090854 23425","NA","https://maps.google.com/?cid=9082187387577608654","ChIJCcJQuFFrPzcRzqkYPE9pCn4"
"St. Stephen's High School","G954+48V, Bordoloi Nagar, Tinsukia, Assam 786126, India","786126","NA","NA","NA","https://maps.google.com/?cid=11390062449259212730","ChIJPbTw5ghrPzcRum-cUXOhEZ4"
