"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Asom Jatiya Vidyalaya Tangla","JWR7+C2C, SH4, Tangla, Nam Jalah, Assam 784525, India","784525","NA","NA","NA","https://maps.google.com/?cid=17804549764799313954","ChIJ7b2jYCoPWzcRIrigtK13Fvc"
"namkhala Jatiya Vidyalaya","GRRM+F89, Namkhola, Bah Molla, Assam 784522, India","784522","NA","NA","NA","https://maps.google.com/?cid=12000938021783139401","ChIJPfItKQAHWzcRSfTcD4zli6Y"
"Dipen Saharia Junior College","GRRM+9J4, Mangaldoi Deomornoi Road, Namkhola, Bah Molla, Assam 784522, India","784522","NA","NA","NA","https://maps.google.com/?cid=17522305616271133402","ChIJlwntl30HWzcR2kqs7x68K_M"
"Dalgaon Adarsha Jatiya Vidyalaya","H54W+RMM, Dalgaon, Assam 784116, India","784116","NA","NA","NA","https://maps.google.com/?cid=12513955007063131130","ChIJL_5CyxEjWzcR-gM488Z_qq0"
"Sankardev Sishu Vidya Niketan","J352+P24, Bherberi Bazar, Bananguri, Assam 784514, India","784514","NA","NA","NA","https://maps.google.com/?cid=1584022037942857230","ChIJsRfnRbwQWzcRDm75p6aT-xU"
"DR. BHUPEN HAZARIKA JATIYA VIDYALAYA","UN Bezbaruah Road, Silpukhuri, Silphukuri, Guwahati, Assam 781003, India","781003","NA","NA","http://drbhupenhazarikajv.com/","https://maps.google.com/?cid=17653567787159246636","ChIJAcVqboVZWjcRLNfnq14S_vQ"
"Sankardev Shishu Niketan, Mudoibori","F3R3+32P, Nagarbahi, Mangaldai Gaon, Saloipara, Assam 784146, India","784146","NA","NA","NA","https://maps.google.com/?cid=8032042463096788338","ChIJm3YUYg4cWzcRctW8iRCMd28"
"Santipur Jatiya Vidyalaya","Asma Khatun Library, Barguli Gaon, Lalpool, Santipur, Assam 784514, India","784514","NA","NA","NA","https://maps.google.com/?cid=15244292357083051902","ChIJ8yE3tsE9WzcRfjcjjCGbjtM"
"Bright Life Senior Secondary School, Kopati","Kopati, Darrang, Assam No. 1 Kopati Grant, Dalgaon Part, Chakra Gaon, Assam 784113, India","784113","NA","098541 44265","NA","https://maps.google.com/?cid=392363494324609563","ChIJ-W_WvqElWzcRG6IM7oT0cQU"
"Sankardev Sishu Vidya Niketan","J352+P24, Bherberi Bazar, Bananguri, Assam 784514, India","784514","NA","NA","NA","https://maps.google.com/?cid=1584022037942857230","ChIJsRfnRbwQWzcRDm75p6aT-xU"
"Sankar Dev Jatiya Vidyalaya,Silbori","J79R+97R, Nowrachisa, Assam 784113, India","784113","NA","NA","NA","https://maps.google.com/?cid=17307148938540726256","ChIJX9Ic2bw7WzcR8Ld_LENYL_A"
"ABED ALI MEMORIAL JATIYA BIDYALAYA(PADUPURI)","M535+MX3, Lalpool- Mazgaon Rd, ASMA KHATUN LIBRARY LALPOOL, Padu Puri Gaon, Chukabahi, Assam 784514, India","784514","NA","NA","NA","https://maps.google.com/?cid=6245658017321274962","ChIJJ7xk05Y9WzcRUk4BN-AIrVY"
"Gramin Bikash Merit Academy","RV8F+59Q, No.1 Garuajhar, Assam 784523, India","784523","NA","NA","NA","https://maps.google.com/?cid=4265494132012771144","ChIJm_SIteN0WzcRSGciQlAUMjs"
"JNANODAI VIDYAPEETH","MV2W+Q6G, Rupa Khat, Bor-Tongla, Assam 784528, India","784528","NA","NA","NA","https://maps.google.com/?cid=5072986960275944349","ChIJoaQqbiQJWzcRnbNvNcPeZkY"
"Khoirabari Junior College","HRV8+7HM, Borbali Sitha, Khoirabari, Assam 784522, India","784522","NA","NA","NA","https://maps.google.com/?cid=15977029254026891939","ChIJt6hdzguoWzcRoxJM5HTPud0"
