"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Girls' ME School","WMMX+65X, Dongkamukam, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=11966237980883256197","ChIJNf4RUa1GRTcRhYNVNAueEKY"
"SINGIMARI HIGH SCHOOL","2JX3+6G9, Barpani Bagan, Raja Gaon, Assam 782450, India","782450","NA","NA","NA","https://maps.google.com/?cid=5102149298702234843","ChIJU-DWBgA3RTcR27QnPMF5zkY"
"Moonlight English higher secondary school","VW92+H9, Kharikhana Gaon, Bordolong, Assam 782446, India","782446","NA","NA","NA","https://maps.google.com/?cid=8005509315319065560","ChIJX2XK-m1vRTcR2GusqU5IGW8"
"St. Dominic Savio School","5th KM, Lumding Rd, City, Diphu, Assam 782460, India","782460","NA","080114 18324","NA","https://maps.google.com/?cid=10020802748964051974","ChIJ_4Bqw6h3RTcRBpxC-AELEYs"
"Green Valley Academy School","W6RV+936, Umswai, Assam 782410, India","782410","NA","NA","NA","https://maps.google.com/?cid=12668088001711480957","ChIJQz9xfrC5WjcRfaBmTesWzq8"
"Dirgheswari ME School","6PRP+XQQ, Fulung, Assam 781030, India","781030","NA","NA","NA","https://maps.google.com/?cid=6898777887142397727","ChIJ84DMdb9QWjcRH0dx4-9hvV8"
"Sangbar Kro Memorial School","W7PV+WQP, Umpanai, Assam 782410, India","782410","NA","NA","NA","https://maps.google.com/?cid=125926995697414368","ChIJD6eMqEy5WjcR4DAtdu9hvwE"
"Don Bosco Higher Secondary School Amkachi ,West karbi Anglong Assam 782410","X85C+PRF, Amkachi, Assam 782410, India","782410","NA","NA","NA","https://maps.google.com/?cid=16896224256519113285","ChIJKdiDymy3WjcRRQop93Bye-o"
"Jirlong English School, Putsari","X6FJ+8X, Umswai, Assam 782410, India","782410","NA","NA","NA","https://maps.google.com/?cid=3612797293925181706","ChIJuTrcb5S5WjcRCinnVf87IzI"
"Shankardev Shishu Niketan","GWRH+7QJ, Kaliabor, Assam 782137, India","782137","NA","NA","NA","https://maps.google.com/?cid=4589989010576323974","ChIJldxvdsflRDcRhjVZsq_qsj8"
"Don Bosco Higher secondary school Hamren","RHX8+H6G, Hamren, Assam 782486, India","782486","NA","NA","NA","https://maps.google.com/?cid=6314298029572027741","ChIJqXgeQDlORTcRXfWWcprkoFc"
"SARTHENGRAK ENGLISH LP SCHOOL","Q7FJ+XC, Murap, Assam 782486, India","782486","NA","NA","NA","https://maps.google.com/?cid=9902252347168327098","ChIJiXjVGNGlWjcRugU_nQvea4k"
"Semson sing engti college","XHGH+4WF, Baithalangso, Assam 782450, India","782450","NA","NA","NA","https://maps.google.com/?cid=16089474430711576136","ChIJ9wRanc9JRTcRSDZLwb9LSd8"
"Presbyterian Mission School, Thangmo","V9RV+VV6, Assam 782486, India","782486","NA","NA","NA","https://maps.google.com/?cid=668333786071920619","ChIJ-YBtEACzWjcR6281lglmRgk"
"Don Bosco School","Bordongka, Dongkamukam, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=8320523826555436518","ChIJCeL2_TZBRTcR5r0CE1ZweHM"
"Langtuk Teron Memorial English School","XM6H+29G, Tengkeralangso, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=9111797040594450434","ChIJfaKv1MlHRTcRAngWziGbc34"
"Presbyterian Mission School, Hamren","RHWC+594, New market, Hamren, Assam 782486, India","782486","NA","NA","NA","https://maps.google.com/?cid=5338247366562850880","ChIJyRfC7jBORTcRQKgkV7JDFUo"
"Church of God,Kharvang Village Church,Rumphum","Q9XP+HX4, Assam 782486, India","782486","NA","NA","NA","https://maps.google.com/?cid=7807130588736543387","ChIJ2anqhy-tWjcRm1q6EOh_WGw"
"Don Bosco Higher secondary school Hamren","RHX8+H6G, Hamren, Assam 782486, India","782486","NA","NA","NA","https://maps.google.com/?cid=6314298029572027741","ChIJqXgeQDlORTcRXfWWcprkoFc"
"Semson sing engti college","XHGH+4WF, Baithalangso, Assam 782450, India","782450","NA","NA","NA","https://maps.google.com/?cid=16089474430711576136","ChIJ9wRanc9JRTcRSDZLwb9LSd8"
"Bina pani LP school","GQRX+MJ9, Niz Lawkhowa, Assam 782120, India","782120","NA","NA","NA","https://maps.google.com/?cid=15717325372826082584","ChIJJ-Gen57nRDcRGF2IEicoH9o"
"Don Bosco School","Bordongka, Dongkamukam, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=8320523826555436518","ChIJCeL2_TZBRTcR5r0CE1ZweHM"
"New Wave Academy","XPF9+7WV, Unnamed Road, Satgaon, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=15122274510761783265","ChIJR3EVwuBARTcR4W_m2Ysc3dE"
"All Saints English High School","3623+3P4, Thepli Anglong, Bokolia, Assam 782482, India","782482","NA","086542 23215","NA","https://maps.google.com/?cid=11924881704436236448","ChIJT2bVX0yiRTcRoAB6vbqwfaU"
"Disciples' English Academy","XPCG+RW2, Satgaon, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=11691329791739622981","ChIJq0qEI-NARTcRRfaUlIDyP6I"
"New Bithung Public English School, New Bithung","XQC4+3RG, Unnamed Road, Kumurakata Reserve, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=9767621675266180032","ChIJFz32jUpARTcRwIOlnimQjYc"
"Langtuk Teron Memorial English School","XM6H+29G, Tengkeralangso, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=9111797040594450434","ChIJfaKv1MlHRTcRAngWziGbc34"
"Sar-ik Terang Memorial English School 🏫","WPM2+MXQ, Dongkamukam, Assam 782485, India","782485","NA","NA","NA","https://maps.google.com/?cid=4725425789219610278","ChIJw-zx8U1BRTcRpp7nCrgVlEE"
"Holy Child Home Academy","ghilani, Bordongka, Dongkamukam, Assam 782485, India","782485","NA","NA","http://www.holychildhomeacademy.com/","https://maps.google.com/?cid=17616641966683852181","ChIJ_URLlTFBRTcRlQ1uH4jievQ"
