School Name,Pincode,District
SRI VIVEKANANDA JUNIOR COLLEGE,531163,Anantpur
(03123) SIDDARTHA JR. COLLEGE,533401,Anantpur
(03109) VIVEKA JUNIOR COLLEGE,533401,Anantpur
KALUVA JR. COLLEGE,533293,Anantpur
ST MARYS EM SCHOOL NANDIPALLI,516502,Anantpur
(12213) M.V.S.R.JR.COLLEGE BADVEL,516227,Anantpur
(12214) DR.B.J.S. R.JR.COLLEGE BADVEL,516227,Anantpur
SRI GAYATHRI JUNIOR COLLEGE,516227,Anantpur
M S MODEL EM UP SCHOOL,516227,Anantpur
KARTHIK UP SCHOOL ANJANEYA NAGAR,516227,Anantpur
M.N.M.L.UPS PRODDATUR,516360,Anantpur
SV PS SIMHADRIPURAM,516454,Anantpur
ASHOK KUMAR REDDY EM SCHOOL,516217,Anantpur
ASHOK KUMAR REDDY EM HIGH SCHOOL,516217,Anantpur
ASHOK KUMAR REDDY JUNIOR COLLEGE,516217,Anantpur
BHASHYAM EM HS WEAVERS COLONY YEMMIGANUR,518360,Anantpur
"MEERAN EM UP SCHOOL, PEDDAHOTHUR,",518395,Anantpur
LITTILE ANGELS UP SCHOOL ALUR,518395,Anantpur
(10092) Vijayawada Nalanda Jr College Nandyal,518502,Anantpur
SRI SAIVIKAS EMS DHIREHAL,515872,Anantpur
S.G.M.CONVENT SCHOOL (EM),515872,Anantpur
BALA MEDHAVI EMS,515865,Anantpur
SRI SIDDALINGESWARA E M S,515871,Anantpur
PRATHIBHA E M PRI SCHOOL,515871,Anantpur
PRATHIBHA HS BOMMANAHAL,515871,Anantpur
MEDHA E M SCHOOL,515871,Anantpur
GOOD SEPHERED EM SCHOOL,515871,Anantpur
GOOD SHEPHERD EM SCHOOL,515871,Anantpur
SRI SARASWATHI EM SCHOOL,515812,Anantpur
SRI JNANA JYOTHI EM SCHOOL,515812,Anantpur
SRI SAI MARUTHI E/M SCHOOL,515871,Anantpur
SREE SAI MARUTHI EM HS,515871,Anantpur
SRI SARASWATIVIDYA MANDIR,515842,Anantpur
SRI SHUBODAYA EM SCH,515870,Anantpur
VISWABHARATHI EM UPS VIDAPANAKAL,515870,Anantpur
SRI SAI EM SCHOOL,515870,Anantpur
JNANABHARATHI VIDYANIKETHAN,515870,Anantpur
SRI SARASWATHI VIDYANIKETHAN EM SCHOOL,515842,Anantpur
CRESENT TM UP SCHOOL,515842,Anantpur
SRIVIVEKANANDA EM SCHOOL,515842,Anantpur
AVN SCHOOL VAJRAKARUR,515832,Anantpur
SRI KRISHNA DEVARAYA JR. COLLEGE VAJRAKARUR,515832,Anantpur
SRI SAHITHIVIGNAN EM SCHOOL,515832,Anantpur
VIGNAN JYOTHI ENGLISH MED,515803,Anantpur
NARAYANA TECHNO PS,515801,Anantpur
ST. PETER E.M. SCHOOL,515801,Anantpur
