"SchoolName","Latitude","Longitude","GoogleMapsLink"
"Sree Gokulam Public School",10.415763,76.1465211,"https://www.google.com/maps?q=10.415763,76.1465211"
"Holy Cross CBSE EMR School",10.6282164,76.0553309,"https://www.google.com/maps?q=10.6282164,76.0553309"
"Excel Public School",10.6337681,76.0610635,"https://www.google.com/maps?q=10.6337681,76.0610635"
"Sree Gokulam Public School",10.415763,76.1465211,"https://www.google.com/maps?q=10.415763,76.1465211"
"Vimalagiri Public School",10.5863522,76.2675717,"https://www.google.com/maps?q=10.5863522,76.2675717"
"Chinmaya Vidyalaya",10.5682124,76.2201231,"https://www.google.com/maps?q=10.5682124,76.2201231"
"Amala Mary Rani Public School",10.5591761,76.160919,"https://www.google.com/maps?q=10.5591761,76.160919"
"Nirmal Jyothi Central School",10.5849227,76.1472534,"https://www.google.com/maps?q=10.5849227,76.1472534"
"Salsabeel Central School",10.5979768,76.1676243,"https://www.google.com/maps?q=10.5979768,76.1676243"
"Salsabeel Green School",10.6217195,76.1586204,"https://www.google.com/maps?q=10.6217195,76.1586204"
"ST Paul's Public School",10.5015297,76.2245502,"https://www.google.com/maps?q=10.5015297,76.2245502"
"Sandeepani Vidya Nikethan",10.5498191,76.2403855,"https://www.google.com/maps?q=10.5498191,76.2403855"
