"pincode","pincode_id"
"561213",52554
"561207",52269
"563125",50994
"563128",51417
"561208",52537
"563125",50994
"563125",50994
"562101",52535
"561213",52554
"563125",50994
"562104",52550
"562101",52535
"583229",49046
"583232",49052
"583231",54673
"583227",48941
"583231",54673
"583227",48941
"583232",49052
"583277",49057
"562112",50375
"562117",51099
"572104",51682
"562109",50372
"562160",50368
"562159",47130
"562117",51099
"562159",47130
"585202",52027
"585216",47537
"585202",52027
"585201",54685
"585201",54685
"585216",47537
"577213",48790
"577002",46586
"577004",46600
"577005",46986
"577004",46600
"577006",46992
"577002",46586
"577004",46600
"577213",48790
"577004",46600
"577005",46986
"577001",54656
"577005",46986
"577005",46986
"577601",46808
"577004",46600
"577004",46600
"577002",46586
"577002",46586
"577003",46637
"577004",46600
"562110",50152
"560028","ERROR"
"562123",47144
"India","ERROR"
"560113",55844
"562103",52547
"562114",50274
"562110",50152
"679332",58987
"562123",47144
"571401",54657
"560069","ERROR"
"560052","ERROR"
"560052","ERROR"
"562127",47134
"562114",50274
"560052","ERROR"
"560008",54667
"560017",54758
"560040",55662
"560055",55664
"560093",54754
"560008",54667
"560078",55865
"560001",54641
"560034",49648
"560079",55257
"560019","ERROR"
"560090",50571
"560096",55732
"560105",50366
"560078",55865
"560095",55639
"560022",55651
"560004",54642
"560076",49191
"560083",49192
"560047",54950
"560047",54950
"560046",54953
"560064",49459
"560061",55719
"560037",52565
"560006",54958
"560014","ERROR"
"560063",54954
"560094",55042
"562110",50152
"560040",55662
"560061",55719
"560008",54667
"560027",55643
"560027",55643
"560083",49192
"560032",54668
"560006",54958
"560091",50146
"560025",54962
"560093",54754
"560062",55718
"560036",54855
"560079",55257
"560102",55524
"560076",49191
"560110",55712
"560035",55706
"560086",55260
"560070",55527
"560085",55529
"560019","ERROR"
"560010",54666
"560062",55718
"560007",54849
"560002",55660
"560003",55424
"560034",49648
"560087",50791
"560079",55257
"560038",54856
"560015",55649
"560004",54642
"560054",55578
"560058",55579
"560035",55706
"560061",55719
"560010",54666
"560018",55637
"560086",55260
"560085",55529
"560042",55575
"560049",51325
"560004",54642
"560068",51108
"560095",55639
"560068",51108
"560076",49191
"560098",55642
"560025",54962
"560046",54953
"560041",54678
"560082",51111
"560077",49170
"560023",55259
"560060",49460
"560004",54642
"560068",51108
"560010",54666
"560013",54645
"560064",49459
"560095",55639
"560060",49460
"560064",49459
"560025",54962
"560001",54641
"560094",55042
"560049",51325
"560091",50146
"560004",54642
"562149",50720
"560039","ERROR"
"560042",55575
"560070",55527
"560003",55424
"560084",55049
"560037",52565
"560063",54954
"560104",55777
"560035",55706
"562107",50577
"560024",54952
"560040",55662
"560083",49192
"560079",55257
"560064",49459
"562125",47192
"560036",54855
"560105",50366
"560016",54757
"560040",55662
"560083",49192
"560025",54962
"560092",52339
"560076",49191
"560008",54667
"560008",54667
"560077",49170
"560083",49192
"560029",55717
"560083",49192
"560084",55049
"560005",54762
"560013",54645
"560037",52565
"560032",54668
"560011",55866
"560078",55865
"560061",55719
"560083",49192
"560066",54951
"560058",55579
"560004",54642
"560066",54951
"560087",50791
"560068",51108
"560034",49648
"560010",54666
"560050",55533
"560084",55049
"560046",54953
"560013",54645
"60064","ERROR"
"560033",55050
"560078",55865
"560102",55524
"560091",50146
"560035",55706
"560037",52565
"560087",50791
"560098",55642
"560077",49170
"560054",55578
"560059",55711
"560056",49190
"560058",55579
"560008",54667
"560046",54953
"560093",54754
"560025",54962
"560048",52336
"560048",52336
"560034",49648
"560076",49191
"560062",55718
"560087",50791
"560083",49192
"560108",55714
"560100",55646
"560017",54758
"562162",47139
"560075",55036
"560045",55047
"562125",47192
"560077",49170
"560077",49170
"560043",54959
"560077",49170
"560104",55777
"560038",54856
"560076",49191
"560027",55643
"560041",54678
"560084",55049
"560078",55865
"560034",49648
"562125",47192
"560068",51108
"560058",55579
"560053",55707
"560016",54757
"560068",51108
"560027",55643
"560024",54952
"560004",54642
"560078",55865
"560078",55865
"560072",55423
"560056",49190
"560062",55718
"560070",55527
"560078",55865
"560004",54642
"560070",55527
"560036",54855
"560084",55049
"560078",55865
"560008",54667
"560017",54758
"560053",55707
"560086",55260
"560072",55423
"560037",52565
"560064",49459
"560064",49459
"560053",55707
"560061",55719
"560063",54954
"560024",54952
"560008",54667
"560024",54952
"560045",55047
"560062",55718
"560010",54666
"560017",54758
"560087",50791
"560090",50571
"560086",55260
"560097",55581
"560071",55034
"560068",51108
"562125",47192
"560087",50791
"560049",51325
"560098",55642
"560102",55524
"560076",49191
"560058",55579
"560029",55717
"560008",54667
"560021",55584
"560085",55529
"560034",49648
"560081",55540
"560008",54667
"560016",54757
"560076",49191
"562159",47130
"560050",55533
"560043",54959
"560030",55636
"560092",52339
"560043",54959
"560064",49459
"560003",55424
"560097",55581
"560084",55049
"560076",49191
"560091",50146
"560075",55036
"560016",54757
"560076",49191
"560027",55643
"560051",55216
"560078",55865
"560075",55036
"560036",54855
"560011",55866
"560026",55523
"600067",112810
"560064",49459
"560058",55579
"560037",52565
"560017",54758
"560019","ERROR"
"560005",54762
"562123",47144
"560064",49459
"560043",54959
"560086",55260
"560068",51108
"560022",55651
"570045","ERROR"
"562149",50720
"560004",54642
"560041",54678
"560103",54854
"560023",55259
"560058",55579
"560061",55719
"560021",55584
"560061",55719
"560043",54959
"560045",55047
"562125",47192
"560053",55707
"560040",55662
"560068",51108
"560076",49191
"560076",49191
"560095",55639
"560064",49459
"560089",50572
"560045",55047
"560099",49458
"560075",55036
"560070",55527
"62 125","ERROR"
"562149",50720
"560076",49191
"560097",55581
"560082",51111
"560068",51108
"560070",55527
"560027",55643
"560090",50571
"560072",55423
"560075",55036
"560072",55423
"560030",55636
"560068",51108
"560011",55866
"560049",51325
"560103",54854
"560033",55050
"560021",55584
"560058",55579
"560040",55662
"560040",55662
"560083",49192
"560034",49648
"560075",55036
"560032",54668
"560080",55213
"560087",50791
"560021",55584
"560068",51108
"560035",55706
"560038",54856
"560084",55049
"560029",55717
"560060",49460
"560085",55529
"560027",55643
"560046",54953
"560083",49192
"560032",54668
"560040",55662
"560077",49170
"530038","ERROR"
"560042",55575
"560105",50366
"560084",55049
"560085",55529
"560072",55423
"560040",55662
"560045",55047
"560043",54959
